job_link,job_title,company,job_location,parse_method
https://ca.linkedin.com/jobs/view/senior-engineering-manager-at-geocomply-3707159557,Senior Engineering Manager,GeoComply,"Vancouver, British Columbia, Canada",non_us_or_metro
https://www.linkedin.com/jobs/view/senior-technical-program-delivery-manager-at-inrhythm-3803013629,Senior Technical Program / Delivery Manager,InRhythm,New York City Metropolitan Area,non_us_or_metro
https://www.linkedin.com/jobs/view/junior-business-systems-analyst-at-perry-ellis-international-3732612717,Junior Business Systems Analyst,Perry Ellis International,Miami-Fort Lauderdale Area,non_us_or_metro
https://www.linkedin.com/jobs/view/ehs-manager-at-systems-llc-poweramp-dlm-3800523231,EHS Manager,"Systems, LLC - Poweramp | DLM",Greater Milwaukee,non_us_or_metro
https://ca.linkedin.com/jobs/view/isl-27r-project-manager-team-lead-business-analyst-bc-public-service-at-bcjobs-3800983361,ISL 27R - Project Manager/Team Lead Business Analyst (BC Public Service),BCJobs,"Vancouver, British Columbia, Canada",non_us_or_metro
https://www.linkedin.com/jobs/view/wholesale-sales-manager-men-s-at-brunello-cucinelli-3767033564,Wholesale Sales Manager (Men's),Brunello Cucinelli,New York City Metropolitan Area,non_us_or_metro
https://www.linkedin.com/jobs/view/assistant-manager-operations-at-world-market-3556976944,Assistant Manager: Operations,World Market,Greater Wilmington Area,non_us_or_metro
https://www.linkedin.com/jobs/view/sr-it-project-manager-oracle-cloud-at-onset-technologies-llc-3762526350,Sr IT Project Manager - Oracle Cloud,Onset Technologies LLC,United States,us_no_state
https://www.linkedin.com/jobs/view/financial-advisor-development-program-at-northwestern-mutual-virginia-beach-3773759736,Financial Advisor Development Program,Northwestern Mutual-Virginia Beach,"Hampton Roads, Virginia Metropolitan Area",non_us_or_metro
https://ca.linkedin.com/jobs/view/analyst-business-systems-at-fraser-health-authority-3789758552,"Analyst, Business Systems",Fraser Health Authority,"Surrey, British Columbia, Canada",non_us_or_metro
https://www.linkedin.com/jobs/view/internal-audit-manager-at-robert-half-3796736695,Internal Audit Manager,Robert Half,Baton Rouge Metropolitan Area,non_us_or_metro
https://mx.linkedin.com/jobs/view/gerencia-cuenta-clave-walmart-at-nestl%C3%A9-3798593476,Gerencia Cuenta Clave Walmart,Nestlé,"Miguel Hidalgo, Mexico City, Mexico",non_us_or_metro
https://www.linkedin.com/jobs/view/business-analyst-software-asset-management-%231996-at-genius-road-3777994265,Business Analyst - Software Asset Management #1996,Genius Road,Brownsville Metropolitan Area,non_us_or_metro
https://www.linkedin.com/jobs/view/it-sr-business-tech-solutions-analyst-at-dice-3805946480,IT- Sr. Business Tech Solutions Analyst,Dice,United States,us_no_state
https://tr.linkedin.com/jobs/view/denizyat%C4%B1r%C4%B1m-m%C3%BCfetti%C5%9F-at-denizbank-3791622113,Denizyatırım / Müfettiş,DenizBank,"Istanbul, Turkey",non_us_or_metro
https://www.linkedin.com/jobs/view/servicenow-lead-at-rocky-mountain-bank-a-division-of-htlf-bank-3804396844,ServiceNow Lead,"Rocky Mountain Bank, a division of HTLF Bank","Rochester-Austin, Minnesota Area",non_us_or_metro
https://www.linkedin.com/jobs/view/data-analyst-at-illinois-state-board-of-education-3803158623,Data Analyst,Illinois State Board of Education,"Springfield, Illinois Metropolitan Area",non_us_or_metro
https://www.linkedin.com/jobs/view/accounting-manager-bilingual-in-mandarin-at-bodor-laser-3805544921,Accounting Manager (Bilingual in Mandarin),Bodor Laser,Greater Chicago Area,non_us_or_metro
https://www.linkedin.com/jobs/view/business-analyst-%E2%80%93-technical-support-resource-smart-stream-tlm-at-ehub-global-inc-3789504087,Business Analyst – Technical Support Resource Smart stream TLM,Ehub Global Inc,New York City Metropolitan Area,non_us_or_metro
https://www.linkedin.com/jobs/view/director-of-product-marketing-at-staffing-matches-3802188753,Director of Product Marketing,Staffing Matches,San Francisco Bay Area,non_us_or_metro
https://ca.linkedin.com/jobs/view/implementation-consultant-remote-ontario-at-gatekeeper-3799964552,Implementation Consultant | REMOTE (ONTARIO),Gatekeeper,"Vancouver, British Columbia, Canada",non_us_or_metro
https://www.linkedin.com/jobs/view/senior-business-system-analyst-at-intelliswift-software-3756028610,Senior Business System Analyst,Intelliswift Software,San Francisco Bay Area,non_us_or_metro
https://www.linkedin.com/jobs/view/senior-financial-analyst-at-elwyn-3799075676,Senior Financial Analyst,Elwyn,Erie-Meadville Area,non_us_or_metro
https://www.linkedin.com/jobs/view/senior-business-analyst-at-perennial-resources-international-3780149234,Senior Business Analyst,Perennial Resources International,New York City Metropolitan Area,non_us_or_metro
https://www.linkedin.com/jobs/view/epic-revenue-cycle-project-manager-at-dice-3805946456,Epic Revenue Cycle project manager,Dice,United States,us_no_state
https://www.linkedin.com/jobs/view/product-owner-at-the-waldinger-corporation-3647102534,Product Owner,The Waldinger Corporation,Des Moines Metropolitan Area,non_us_or_metro
https://www.linkedin.com/jobs/view/application-analyst-iii-information-solutions-business-applications-rev-cycle-hb-at-musc-health-3779278093,Application Analyst III - Information Solutions/Business Applications (Rev Cycle/HB),MUSC Health,"Charleston, South Carolina Metropolitan Area",non_us_or_metro
https://www.linkedin.com/jobs/view/solution-architect-at-dice-3804441242,Solution Architect,Dice,United States,us_no_state
https://www.linkedin.com/jobs/view/requirements-manager-at-aevex-aerospace-3742229337,Requirements Manager,AEVEX Aerospace,Bellingham Metropolitan Area,non_us_or_metro
https://www.linkedin.com/jobs/view/business-systems-analyst-at-lhh-3778913991,Business Systems Analyst,LHH,"Austin, Texas Metropolitan Area",non_us_or_metro
https://www.linkedin.com/jobs/view/wms-systems-development-manager-at-mclane-company-inc-3790917508,WMS Systems Development Manager,"McLane Company, Inc.",Killeen-Temple Area,non_us_or_metro
https://www.linkedin.com/jobs/view/accounting-manager-at-sage-search-partners-3800504662,Accounting Manager,Sage Search Partners,Dallas-Fort Worth Metroplex,non_us_or_metro
https://www.linkedin.com/jobs/view/senior-information-systems-business-analyst-information-solutions-at-musc-health-3789069503,Senior Information Systems/Business Analyst - Information Solutions,MUSC Health,"Charleston, South Carolina Metropolitan Area",non_us_or_metro
https://www.linkedin.com/jobs/view/%E9%97%A8%E5%BA%97%E5%89%AF%E7%BB%8F%E7%90%86-%E9%97%A8%E5%BA%97%E7%BB%8F%E7%90%86%E2%80%94%E6%B7%B1%E5%9C%B3%E6%B5%B7%E5%B2%B8%E5%9F%8E%E5%BA%97-at-godiva-chocolatier-3805089091,门店副经理/门店经理—深圳海岸城店,Godiva Chocolatier,Greater Savannah Area,non_us_or_metro
https://ca.linkedin.com/jobs/view/senior-business-analyst-maximo-at-vancouver-airport-authority-3801036155,Senior Business Analyst (Maximo),Vancouver Airport Authority,"Vancouver, British Columbia, Canada",non_us_or_metro
https://www.linkedin.com/jobs/view/business-analyst-at-firstpro-inc-3802976574,Business Analyst,"firstPRO, Inc",Greater Boston,non_us_or_metro
https://www.linkedin.com/jobs/view/servicenow-lead-at-premier-valley-bank-a-division-of-htlf-bank-3805552150,ServiceNow Lead,"Premier Valley Bank, a division of HTLF Bank",Pueblo-Cañon City Area,non_us_or_metro
